ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,11463,Ifenna Cos-Okpalla,Sophomore,"Flower Mound, Texas",Marcus,,"6'2""",Middle,1,https://www.12thman.com/sports/womens-volleyball/roster/ifenna-cos-okpalla/11463,2023-24
697,Texas A&M,11473,Ital Lopuyo,Redshirt Freshman,"Omaha, Neb.",Omaha Central,,"6'6""",Opposite,2,https://www.12thman.com/sports/womens-volleyball/roster/ital-lopuyo/11473,2023-24
697,Texas A&M,11467,Lexi Guinn,Sophomore,"Frisco, Texas",Frisco,,"6'0""",Outside,5,https://www.12thman.com/sports/womens-volleyball/roster/lexi-guinn/11467,2023-24
697,Texas A&M,11960,Brooke Jeffrey,Sophomore,"Austin, Texas",Austin,Sacred Heart,"6'1""",Outside,7,https://www.12thman.com/sports/womens-volleyball/roster/brooke-jeffrey/11960,2023-24
697,Texas A&M,11469,Lauren Hogan,Senior,"Loveland, Ohio",Mount Notre Dame,Syracuse,"5'4""",Libero/Defensive,8,https://www.12thman.com/sports/womens-volleyball/roster/lauren-hogan/11469,2023-24
697,Texas A&M,11472,Logan Lednicky,Sophomore,"Sugar Land, Texas",George Ranch,,"6'3""",Opposite,9,https://www.12thman.com/sports/womens-volleyball/roster/logan-lednicky/11472,2023-24
697,Texas A&M,11958,Margot Manning,Freshman,"Houston, Texas",St. John's School,,"5'10""",Setter,10,https://www.12thman.com/sports/womens-volleyball/roster/margot-manning/11958,2023-24
697,Texas A&M,11462,Nisa Buzlutepe,Junior,"Istanbul, Turkey",Okyanus,,"6'2""",Setter,11,https://www.12thman.com/sports/womens-volleyball/roster/nisa-buzlutepe/11462,2023-24
697,Texas A&M,11476,Ava Underwood,Sophomore,"Fulshear, Texas",Fulshear,,"5'7""",Libero/Defensive,12,https://www.12thman.com/sports/womens-volleyball/roster/ava-underwood/11476,2023-24
697,Texas A&M,11959,Bianna Muoneke,Freshman,"Cypress, Texas",Cypress Ranch,,"6'0""",Outside,13,https://www.12thman.com/sports/womens-volleyball/roster/bianna-muoneke/11959,2023-24
697,Texas A&M,11461,Molly Brown,Redshirt Junior,"Goshen, Ind.",Northridge,Purdue,"6'2""",Middle,14,https://www.12thman.com/sports/womens-volleyball/roster/molly-brown/11461,2023-24
697,Texas A&M,11474,Caroline Meuth,Graduate Student,"San Antonio, Texas",Winston Churchill,Notre Dame,"5'11""",Outside,16,https://www.12thman.com/sports/womens-volleyball/roster/caroline-meuth/11474,2023-24
697,Texas A&M,11961,Morgan Perkins,Sophomore,"Rosharon, Texas",Episcopal,Oklahoma,"6'1""",Middle,21,https://www.12thman.com/sports/womens-volleyball/roster/morgan-perkins/11961,2023-24
697,Texas A&M,11962,Alayna Pearson,Freshman,"Overland Park, Kan.",Blue Valley Northwest,,"5'6""",Libero/Defensive,24,https://www.12thman.com/sports/womens-volleyball/roster/alayna-pearson/11962,2023-24
8,Alabama,9508,Micah Gryniewicz,Sophomore,"Chandler, Ariz.",Hamilton HS,,"6'1""",Outside,1,https://www.rolltide.com/sports/womens-volleyball/roster/micah-gryniewicz/9508,2023-24
8,Alabama,9515,Callie Kieffer,Freshman,"Prosper, Texas",Prosper HS,,"5'10""",Setter,2,https://www.rolltide.com/sports/womens-volleyball/roster/callie-kieffer/9515,2023-24
8,Alabama,9516,Allison Berent,Freshman,"Rochester Hills, Mich.",Notre Dame Prepatory,,"5'7""",Libero/Defensive,3,https://www.rolltide.com/sports/womens-volleyball/roster/allison-berent/9516,2023-24
8,Alabama,9517,Jordyn Towns,Freshman,"Loganville, Ga.",Loganville Christian Academy,,"6'6""",Middle,4,https://www.rolltide.com/sports/womens-volleyball/roster/jordyn-towns/9517,2023-24
8,Alabama,9507,Sydney Gholson,Junior,"Keller, Texas",Keller HS,,"5'5""",Libero/Defensive,5,https://www.rolltide.com/sports/womens-volleyball/roster/sydney-gholson/9507,2023-24
8,Alabama,9512,Victoria Schmer,Senior,"Chelsea, Ala.",Chelsea HS,,"5'4""",L/DS,7,https://www.rolltide.com/sports/womens-volleyball/roster/victoria-schmer/9512,2023-24
8,Alabama,9509,Sami Jacobs,Junior,"Prosper, Texas",Prosper HS,,"6'0""",Outside,9,https://www.rolltide.com/sports/womens-volleyball/roster/sami-jacobs/9509,2023-24
